,wl,u,g,r,i,z,y
120,420,5.4000000000000005e-05,0.4935,0.0009660000000000001,4e-06,0.001643,1.1000000000000001e-05
121,421,1e-05,0.49483699999999997,0.00062,5e-06,0.001168,2.7000000000000002e-05
122,422,3.7000000000000005e-05,0.49257199999999995,0.0005729999999999999,5e-06,1.8e-05,0.000538
123,423,0.000131,0.490548,0.001124,5.999999999999999e-06,1e-05,3.4e-05
124,424,4.4999999999999996e-05,0.490736,0.001242,5e-06,3.2e-05,2.9999999999999997e-06
125,425,0.000107,0.492445,0.001168,4e-06,0.000135,2e-06
126,426,4.9e-05,0.49371499999999996,0.0033510000000000002,4e-06,5.3e-05,4e-06
127,427,3.2e-05,0.495986,0.00773,5e-06,0.000121,0.001027
128,428,7e-06,0.49848,0.002137,8e-06,1.8e-05,2e-06
129,429,5.7e-05,0.49878999999999996,0.000969,1.4e-05,0.000164,1e-06
130,430,9.499999999999999e-05,0.496928,0.000742,2.2000000000000003e-05,5.999999999999999e-06,1e-06
131,431,1.7e-05,0.496449,0.000961,2.2000000000000003e-05,0.000114,1e-06
132,432,1.9e-05,0.498106,0.002853,1.7e-05,0.000114,0.0
133,433,7.1e-05,0.497318,0.0037630000000000003,1.5e-05,1.4e-05,0.0
134,434,1.1999999999999999e-05,0.496594,0.00314,1.6e-05,4e-06,0.0
135,435,3.1e-05,0.49772799999999995,0.001034,2e-05,9e-06,1e-06
136,436,8.5e-05,0.499491,0.000779,2.5e-05,1e-06,2.3e-05
137,437,1e-06,0.499394,0.001124,3.3e-05,1e-06,4.7000000000000004e-05
138,438,0.0,0.498963,0.003975,3.5000000000000004e-05,0.0,1e-06
139,439,0.0,0.500538,0.007125,2.8999999999999997e-05,0.0,0.0
140,440,0.0,0.50242,0.0011070000000000001,2.7000000000000002e-05,0.0,0.0
141,441,0.0,0.502395,0.00316,2.5e-05,0.0,0.0
142,442,1e-06,0.502249,0.00035999999999999997,3.3e-05,0.0,0.0
143,443,1e-06,0.504611,0.000214,6.4e-05,1e-06,0.0
144,444,2e-06,0.5055510000000001,0.000206,9.1e-05,4.4000000000000006e-05,1e-06
145,445,4e-06,0.504514,0.000276,4.7999999999999994e-05,0.0,4e-06
146,446,5e-06,0.503648,0.000562,2.8999999999999997e-05,0.0,1.3e-05
147,447,0.0,0.50625,0.0029389999999999998,2.2000000000000003e-05,0.0,2e-06
148,448,0.0,0.509664,0.003887,2.2000000000000003e-05,0.0,1e-06
149,449,2.9999999999999997e-06,0.511285,0.001006,3.1e-05,0.0,5e-06
150,450,0.0,0.512192,0.000229,4.2e-05,0.0,0.0
151,451,1e-06,0.513627,0.000101,4.9e-05,0.0,0.0
152,452,5.999999999999999e-06,0.515701,5.7e-05,3.9e-05,0.0,0.0
153,453,2.3e-05,0.5169469999999999,3.7000000000000005e-05,3.8e-05,0.0,0.0
154,454,0.0,0.5162140000000001,2.6e-05,3e-05,0.0,2e-06
155,455,0.0,0.515904,1.9e-05,2.1e-05,0.0,2.6e-05
156,456,1e-06,0.517489,1.5e-05,1.5e-05,0.0,0.0011840000000000002
157,457,0.0,0.518822,1.1999999999999999e-05,1.3e-05,0.0,0.0
158,458,0.0,0.5195879999999999,9e-06,1.3e-05,0.0,0.0
159,459,0.0,0.519645,8e-06,1.6e-05,0.0,1e-06
160,460,0.0,0.520515,7e-06,2.3999999999999997e-05,0.0,1e-06
161,461,0.0,0.5216729999999999,5.999999999999999e-06,4.6e-05,0.0,1e-06
162,462,0.0,0.5221589999999999,5e-06,8.3e-05,0.0,1e-06
163,463,0.0,0.5222249999999999,4e-06,5e-05,0.0,2e-06
164,464,0.0,0.523726,4e-06,2.7000000000000002e-05,0.0,9e-06
165,465,0.0,0.525325,4e-06,1.9e-05,0.0,6.6e-05
166,466,0.0,0.527855,4e-06,1.8e-05,0.0,0.000276
167,467,0.0,0.530715,2.9999999999999997e-06,2.7000000000000002e-05,0.0,2.8999999999999997e-05
168,468,0.0,0.531376,2.9999999999999997e-06,1.6e-05,0.0,9e-06
169,469,0.0,0.530911,2.9999999999999997e-06,1.1000000000000001e-05,0.0,8e-06
170,470,0.0,0.530837,2.9999999999999997e-06,1.1999999999999999e-05,0.0,3e-05
171,471,0.0,0.531354,2.9999999999999997e-06,2.2000000000000003e-05,0.0,3.4e-05
172,472,0.0,0.533095,4e-06,5.4999999999999995e-05,0.0,2.8999999999999997e-05
173,473,0.0,0.534396,4e-06,4.4999999999999996e-05,0.0,3.2e-05
174,474,0.0,0.533997,4e-06,5.1000000000000006e-05,0.0,2.1e-05
175,475,0.0,0.534385,4e-06,2.5e-05,0.0,1.8e-05
176,476,0.0,0.534938,4e-06,1.3e-05,0.0,0.000101
177,477,0.0,0.536691,5e-06,8e-06,0.0,5.9e-05
178,478,0.0,0.537161,5.999999999999999e-06,5.999999999999999e-06,0.0,7.7e-05
179,479,0.0,0.537027,7e-06,5e-06,0.0,2.8e-05
180,480,0.0,0.538396,9e-06,5.999999999999999e-06,0.0,1.7e-05
181,481,0.0,0.54102,1.1000000000000001e-05,1.1000000000000001e-05,0.0,1.3e-05
182,482,0.0,0.54302,1.4e-05,3.7000000000000005e-05,0.0,1.6e-05
183,483,0.0,0.543503,1.9e-05,4.4000000000000006e-05,0.0,2.3e-05
184,484,0.0,0.542927,2.7000000000000002e-05,1.6e-05,0.0,3.7000000000000005e-05
