,observationId,night,observationStartMJD,fiveSigmaDepth,filter,airmass,skyBrightness,seeingFwhmEff,fieldId,fieldRA,fieldDec
0,8476,11,59863.36313657407,22.906130681584838,z,1.2312866918598833,18.659079218650625,0.7574478598505716,236,79.825808,-65.928086
1,10032,13,59865.30699074074,21.987303884859564,y,1.3868001842077078,17.826025595083255,0.7511984925131405,116,77.606893,-73.293777
2,10160,13,59865.36571759259,21.894638313003682,y,1.3156133599857955,17.861953672518098,0.8411532402760487,150,81.777206,-70.757749
3,10161,13,59865.36616898148,21.944466125489228,y,1.2679552422070082,17.897698471941435,0.8227360197871593,190,84.97254,-68.155026
4,10165,13,59865.36798611111,21.959869254368083,y,1.23233277664974,17.922087666233423,0.8248159332115167,236,79.825808,-65.928086
5,10166,13,59865.3684375,21.90532601038823,y,1.277317106013949,17.8741080683901,0.8427513928272298,178,76.364237,-68.470535
6,12540,16,59868.33261574074,22.12932537882696,y,1.2343695997579065,17.9969660342769,0.7291391745181736,236,79.825808,-65.928086
7,12541,16,59868.33306712963,22.086906397339252,y,1.2736534185543298,17.96583125170834,0.7429747614613468,178,76.364237,-68.470535
8,12543,16,59868.333958333336,21.987957955887072,y,1.3694012895274819,17.894073154830444,0.7760000358880487,116,77.606893,-73.293777
9,12552,16,59868.338009259256,21.994079744877414,y,1.3181740548434693,17.931266898280356,0.7911475701331093,150,81.777206,-70.757749
10,12553,16,59868.33844907407,22.04039662451988,y,1.2740866992547741,17.96503171196683,0.7751633521541521,190,84.97254,-68.155026
11,16592,21,59873.355462962965,23.19693933504117,u,1.268072416701899,22.6285726210794,0.9564989290333612,190,84.97254,-68.155026
12,16593,21,59873.35591435185,23.205140223260603,u,1.3177874767992246,22.600051207921076,0.9239999558158761,150,81.777206,-70.757749
13,17244,22,59874.285104166665,23.08958755918721,u,1.38475946470321,22.718010657211458,1.01319176736287,116,77.606893,-73.293777
14,17245,22,59874.28555555556,23.189837717963012,u,1.287848260198147,22.749198954259796,0.9700315601421814,178,76.364237,-68.470535
15,17263,22,59874.29394675926,23.293704044558964,u,1.2475516031792087,22.763467786249745,0.899736660206066,236,79.825808,-65.928086
16,18140,23,59875.335497685184,23.17073357603381,u,1.268411542581644,22.75421022408733,0.9967875019852112,190,84.97254,-68.155026
17,18141,23,59875.33594907408,23.121195089318498,u,1.315430402091642,22.738122914846542,1.0187959216401392,150,81.777206,-70.757749
18,18142,23,59875.33640046296,23.06521965297302,u,1.3698846081816425,22.722157766564557,1.043895112852604,116,77.606893,-73.293777
19,18831,24,59876.28811342592,23.27121305580699,u,1.282003288170844,22.75114488554395,0.9026441267580216,178,76.364237,-68.470535
20,20378,26,59878.29184027778,23.985092642132365,i,1.2410791275092743,20.2370087694282,0.6515583207419342,236,79.825808,-65.928086
21,20380,26,59878.29275462963,23.950888224937813,i,1.2771582235880747,20.210534212500328,0.6628578972131115,178,76.364237,-68.470535
22,21908,28,59880.292280092595,22.139948953389087,y,1.3716851637177183,17.92357876606278,0.6832483275911221,116,77.606893,-73.293777
23,21909,28,59880.29273148148,22.239519529326227,y,1.275277906969338,17.995930880464073,0.6540166641391741,178,76.364237,-68.470535
24,22706,30,59882.3090625,22.454237559914375,y,1.2311937071354815,18.03113744044741,0.5490659077066862,236,79.825808,-65.928086
25,22708,30,59882.30997685185,22.363636018494134,y,1.3158454415394263,17.96430650799412,0.5714149181777305,150,81.777206,-70.757749
26,25613,37,59889.26236111111,22.314820834692142,z,1.3736512093903344,18.63612487940559,1.2807864786801932,116,77.606893,-73.293777
27,27484,40,59892.25997685185,22.009814277224052,y,1.2371959202073934,17.839983494978437,0.7589528795967806,236,79.825808,-65.928086
28,27500,40,59892.26715277778,21.80172010052238,y,1.3696620596297995,17.742549217679496,0.8611781215228035,116,77.606893,-73.293777
29,27501,40,59892.267604166664,21.851534260259964,y,1.32012067665993,17.777502925650886,0.8423510323913318,150,81.777206,-70.757749
30,27502,40,59892.268055555556,21.899472093453525,y,1.27354798349363,17.810961841431535,0.8243926668671313,178,76.364237,-68.470535
31,27503,40,59892.26851851852,21.896992766229552,y,1.2766118285532846,17.81021076164759,0.8255820672656167,190,84.97254,-68.155026
32,34009,49,59901.23761574074,23.826891871843916,r,1.2745816023319962,21.180806378677993,1.2848883953652936,178,76.364237,-68.470535
33,34011,49,59901.23850694444,23.76795953474663,r,1.3704641798542383,21.120053362023537,1.3099952039533538,116,77.606893,-73.293777
34,34021,49,59901.24300925926,23.81570218806283,r,1.320136272922604,21.150092796594738,1.275957185780263,150,81.777206,-70.757749
35,34022,49,59901.24346064815,23.85445030045329,r,1.2769776343427228,21.17755491600043,1.2507624026453013,190,84.97254,-68.155026
36,34712,50,59902.2234375,23.926364244359643,r,1.2429551961635004,21.202795675138162,1.1868166748132238,236,79.825808,-65.928086
37,34713,50,59902.22388888889,23.8931821291447,r,1.2784981283072774,21.178318118834596,1.2070643207392175,178,76.364237,-68.470535
38,37554,54,59906.22346064815,24.279791476093283,r,1.2366028194402414,21.20608409085761,0.8587954415840353,236,79.825808,-65.928086
39,37560,54,59906.226168981484,24.151810432650745,r,1.3702406367883315,21.119046983711733,0.9195418953486539,116,77.606893,-73.293777
40,40330,58,59910.236284722225,23.255730937971368,u,1.231441000495977,22.768343657999548,0.939299566627149,236,79.825808,-65.928086
41,40331,58,59910.23673611111,23.209255431667337,u,1.2746250294076078,22.75132178543736,0.9589267236292703,178,76.364237,-68.470535
42,40332,58,59910.2371875,23.165822062491856,u,1.3156866223006645,22.73574710238708,0.9773439563913329,150,81.777206,-70.757749
43,40333,58,59910.23762731482,23.110377514404238,u,1.369457808195239,22.718848273325335,1.0011177241994578,116,77.606893,-73.293777
44,40340,58,59910.24078703704,23.201082307182272,u,1.268330304178194,22.753082857537372,0.9692028769821251,190,84.97254,-68.155026
45,40937,66,59918.19018518519,22.043174667349327,y,1.2748814081465512,17.89160189458815,0.7483498696582931,178,76.364237,-68.470535
46,40948,66,59918.19511574074,21.91168685839372,y,1.3698418398942735,17.823022432734504,0.8065717184258927,116,77.606893,-73.293777
47,40949,66,59918.195555555554,21.961605287248137,y,1.3205374883684968,17.85861964720982,0.7890257460416183,150,81.777206,-70.757749
