,observationId,night,observationStartMJD,fiveSigmaDepth,filter,airmass,skyBrightness,seeingFwhmEff,fieldId,fieldRA,fieldDec
0,2655,4,59857.288711055444,22.10695381571593,y,1.4483678133389062,18.188759677501633,0.8049129035159168,-1,11.30905261492913,-72.52500283420494
1,2688,4,59857.30347807405,21.605470974479054,y,1.4806664536251388,18.18566677499947,1.269274534809556,-1,11.30905261492913,-72.52500283420494
2,3202,5,59858.145328774684,23.12963505986486,i,1.3511506136284432,19.051958321494794,0.871455267904653,-1,12.094583394140331,-71.6423083006459
3,3235,5,59858.161589103154,22.566799261918348,z,1.3400875147119804,18.69249151339051,1.0491676384734954,-1,12.094583394140331,-71.6423083006459
4,4178,6,59859.20517314814,22.813413760349498,z,1.3692139403109227,18.58584527943062,0.7959694314392816,-1,15.70103389206562,-73.29278466095231
5,4211,6,59859.22129756686,21.852656711108637,y,1.374416720977022,18.09874145503788,0.9892119302985775,-1,15.70103389206562,-73.29278466095231
6,8452,11,59864.3041087178,22.89687399691447,i,1.49463446137423,18.974934026894324,1.030371215794874,-1,14.681075794615944,-71.81215849169199
7,8485,11,59864.320204571566,22.54823147353956,z,1.5414021929220376,18.608728401002733,1.015364308213003,-1,14.681075794615944,-71.81215849169199
8,13588,18,59871.23899958671,24.077984888863796,r,1.4142170131761704,20.969995732947954,0.9293657100944491,-1,12.656885470206985,-72.2107962816204
9,13621,18,59871.25510266956,23.67757148883141,i,1.4442796227787704,20.129666160043165,0.8310346061865326,-1,12.656885470206985,-72.2107962816204
10,13653,18,59871.270754124926,24.450537941121063,g,1.471299886773558,22.084649470154066,1.0337633481635502,-1,15.503739715898487,-72.77619337393494
11,13686,18,59871.286906527734,23.705399429465025,r,1.509960721970391,20.891454632640794,1.2555223807542402,-1,15.503739715898487,-72.77619337393494
12,14535,20,59873.30556800328,23.253313526299983,u,1.588792713462321,22.524188857469177,1.0312094729000392,-1,13.064181965843284,-71.7496541461213
13,14568,20,59873.32164888218,24.292775884340543,g,1.6503284363884199,21.996248149835505,1.119429099405853,-1,13.064181965843284,-71.7496541461213
