,observationId,night,observationStartMJD,fiveSigmaDepth,filter,airmass,skyBrightness,seeingFwhmEff,fieldId,fieldRA,fieldDec
0,846,1,59854.3865637193,23.052466365188472,i,1.2427176513382552,19.907910447581894,1.3705751621533764,-1,72.75744768528318,-66.43505087295915
1,847,1,59854.38701933881,23.001145000866074,i,1.273602494762755,19.83780527393333,1.39091220381781,-1,77.77206325657222,-68.49211965171176
2,1883,3,59856.354579490144,23.52425744000039,i,1.331815249795769,20.2213205159167,1.0041092951110373,-1,73.73697843064893,-71.52658365727063
3,1909,3,59856.36657454515,23.767788809191686,i,1.3147232327632192,20.232737581349667,0.8073698364120879,-1,82.60508494141345,-70.45285958173992
4,1910,3,59856.367036759846,23.7288252423204,i,1.3601299771952295,20.2049145641948,0.823986630236968,-1,89.94562353024133,-72.08907403168615
5,2732,4,59857.35051937208,24.07388886086632,r,1.3177693110469826,21.034393690631624,0.9676341150734118,-1,72.97110939469246,-70.83275052158962
6,5880,8,59861.32445031661,21.999249645591668,y,1.2888105167120227,18.113695770912347,0.8817313021020919,-1,77.1890120211072,-68.5876828350927
7,5881,8,59861.324899545165,21.942880488425793,y,1.3449934772911853,18.053426638898955,0.8964278903988449,-1,76.34993987728677,-71.68275896146869
8,5913,8,59861.33964086192,22.04969660329903,y,1.2797337642394853,18.123597706201743,0.8465827120061459,-1,77.1890120211072,-68.5876828350927
9,5914,8,59861.340090545185,21.98234531319867,y,1.3372853928693886,18.063220945996424,0.8692247404115614,-1,76.34993987728677,-71.68275896146869
10,5989,8,59861.375814869985,21.99270385872269,y,1.280417224721174,17.943445481359582,0.8238291258158722,-1,85.78031939914254,-68.84546887894199
11,5990,8,59861.37627107479,22.06929542958134,y,1.2431538774363282,17.96604282694212,0.77998224330568,-1,80.7404479052614,-66.67311570831221
12,5991,8,59861.37672674805,21.97169999154482,y,1.329989177817069,17.885403228350835,0.8122292903045398,-1,82.11696561210529,-71.48861719758652
